User Principal Name,Last Activity Date,Posted Count
e5-user000@acme.example,,0
e5-user001@acme.example,,0
e5-user002@acme.example,,0
e5-user003@acme.example,,0
e5-user004@acme.example,,0
e5-user005@acme.example,,0
e5-user006@acme.example,,0
e5-user007@acme.example,,0
e5-user008@acme.example,,0
e5-user009@acme.example,,0
e5-user010@acme.example,,0
e5-user011@acme.example,,0
e5-user012@acme.example,,0
e5-user013@acme.example,,0
e5-user014@acme.example,,0
e5-user015@acme.example,,0
e5-user016@acme.example,,0
e5-user017@acme.example,,0
e5-user018@acme.example,,0
e5-user019@acme.example,,0
e5-user020@acme.example,,0
e5-user021@acme.example,,0
e5-user022@acme.example,,0
e5-user023@acme.example,,0
e5-user024@acme.example,,0
e5-user025@acme.example,,0
e5-user026@acme.example,,0
e5-user027@acme.example,,0
e5-user028@acme.example,,0
e5-user029@acme.example,,0
e5-user030@acme.example,,0
e5-user031@acme.example,,0
e5-user032@acme.example,,0
e5-user033@acme.example,,0
e5-user034@acme.example,,0
e5-user035@acme.example,,0
e5-user036@acme.example,,0
e5-user037@acme.example,,0
e5-user038@acme.example,,0
e5-user039@acme.example,,0
e5-user040@acme.example,,0
e5-user041@acme.example,,0
e5-user042@acme.example,,0
e5-user043@acme.example,,0
e5-user044@acme.example,,0
e5-user045@acme.example,,0
e5-user046@acme.example,,0
e5-user047@acme.example,,0
e5-user048@acme.example,,0
e5-user049@acme.example,,0
